code;pairCode;name;shortDescription;description;defaultCategory;manufacturer;price;vat;availability;visible;unit;weight;parameterName1;parameterValue1;parameterName2;parameterValue2;parameterName3;parameterValue3
"SAB-NORA";"";"Šablona Nora";"Vzdušná šablona pro módu a doplňky. Velké fotky, klidná typografie, důraz na produkt. <span data-demo=""demo-nora.softema.cz"" data-obor=""Móda a doplňky"" data-styl=""minimalistická"" hidden></span>";"<p>Vzdušná šablona pro módu a doplňky. Velké fotky, klidná typografie, důraz na produkt.</p><p><strong>Co je v ceně:</strong></p><ul class=""sc-included""><li>Nasazení šablony na váš e-shop</li><li>Sladění barev a písma s vaším logem</li><li>Nastavení hlavní strany a menu</li><li>Základní úprava banneru a patičky</li><li>Kontrola na mobilu i desktopu</li><li>Spuštění do 5 pracovních dnů</li><li>30 dní podpory zdarma</li></ul>";"Šablony";"Softema";"14900";"0";"Skladem";"1";"ks";"0";"Obor";"Móda a doplňky";"Styl";"minimalistická";"Demo";"https://demo-nora.softema.cz"
"SAB-LINKA";"";"Šablona Linka";"Hravá a barevná šablona pro kosmetiku a drogerii. Zvýrazněné akce a novinky. <span data-demo=""demo-linka.softema.cz"" data-obor=""Kosmetika"" data-styl=""hravá"" hidden></span>";"<p>Hravá a barevná šablona pro kosmetiku a drogerii. Zvýrazněné akce a novinky.</p><p><strong>Co je v ceně:</strong></p><ul class=""sc-included""><li>Nasazení šablony na váš e-shop</li><li>Sladění barev a písma s vaším logem</li><li>Nastavení hlavní strany a menu</li><li>Základní úprava banneru a patičky</li><li>Kontrola na mobilu i desktopu</li><li>Spuštění do 5 pracovních dnů</li><li>30 dní podpory zdarma</li></ul>";"Šablony";"Softema";"13900";"0";"Skladem";"1";"ks";"0";"Obor";"Kosmetika";"Styl";"hravá";"Demo";"https://demo-linka.softema.cz"
"SAB-ATELIER";"";"Šablona Ateliér";"Elegantní šablona pro nábytek a bytové doplňky. Prostor pro inspirativní fotografie. <span data-demo=""demo-atelier.softema.cz"" data-obor=""Nábytek a bydlení"" data-styl=""elegantní"" hidden></span>";"<p>Elegantní šablona pro nábytek a bytové doplňky. Prostor pro inspirativní fotografie.</p><p><strong>Co je v ceně:</strong></p><ul class=""sc-included""><li>Nasazení šablony na váš e-shop</li><li>Sladění barev a písma s vaším logem</li><li>Nastavení hlavní strany a menu</li><li>Základní úprava banneru a patičky</li><li>Kontrola na mobilu i desktopu</li><li>Spuštění do 5 pracovních dnů</li><li>30 dní podpory zdarma</li></ul>";"Šablony";"Softema";"15900";"0";"Skladem";"1";"ks";"0";"Obor";"Nábytek a bydlení";"Styl";"elegantní";"Demo";"https://demo-atelier.softema.cz"
"SAB-PULSE";"";"Šablona Pulse";"Přehledná šablona pro elektroniku. Rychlý filtr, srovnání parametrů, jasné ceny. <span data-demo=""demo-pulse.softema.cz"" data-obor=""Elektronika"" data-styl=""technická"" hidden></span>";"<p>Přehledná šablona pro elektroniku. Rychlý filtr, srovnání parametrů, jasné ceny.</p><p><strong>Co je v ceně:</strong></p><ul class=""sc-included""><li>Nasazení šablony na váš e-shop</li><li>Sladění barev a písma s vaším logem</li><li>Nastavení hlavní strany a menu</li><li>Základní úprava banneru a patičky</li><li>Kontrola na mobilu i desktopu</li><li>Spuštění do 5 pracovních dnů</li><li>30 dní podpory zdarma</li></ul>";"Šablony";"Softema";"14900";"0";"Skladem";"1";"ks";"0";"Obor";"Elektronika";"Styl";"technická";"Demo";"https://demo-pulse.softema.cz"
"SAB-KOREN";"";"Šablona Kořen";"Přírodní šablona pro bio a zdravou výživu. Teplé tóny, důraz na příběh značky. <span data-demo=""demo-koren.softema.cz"" data-obor=""Zdravá výživa"" data-styl=""přírodní"" hidden></span>";"<p>Přírodní šablona pro bio a zdravou výživu. Teplé tóny, důraz na příběh značky.</p><p><strong>Co je v ceně:</strong></p><ul class=""sc-included""><li>Nasazení šablony na váš e-shop</li><li>Sladění barev a písma s vaším logem</li><li>Nastavení hlavní strany a menu</li><li>Základní úprava banneru a patičky</li><li>Kontrola na mobilu i desktopu</li><li>Spuštění do 5 pracovních dnů</li><li>30 dní podpory zdarma</li></ul>";"Šablony";"Softema";"13900";"0";"Skladem";"1";"ks";"0";"Obor";"Zdravá výživa";"Styl";"přírodní";"Demo";"https://demo-koren.softema.cz"
"SAB-DILNA";"";"Šablona Dílna";"Poctivá šablona pro řemeslo a hobby. Robustní vzhled, velké kategorie. <span data-demo=""demo-dilna.softema.cz"" data-obor=""Řemeslo a hobby"" data-styl=""rustikální"" hidden></span>";"<p>Poctivá šablona pro řemeslo a hobby. Robustní vzhled, velké kategorie.</p><p><strong>Co je v ceně:</strong></p><ul class=""sc-included""><li>Nasazení šablony na váš e-shop</li><li>Sladění barev a písma s vaším logem</li><li>Nastavení hlavní strany a menu</li><li>Základní úprava banneru a patičky</li><li>Kontrola na mobilu i desktopu</li><li>Spuštění do 5 pracovních dnů</li><li>30 dní podpory zdarma</li></ul>";"Šablony";"Softema";"12900";"0";"Skladem";"1";"ks";"0";"Obor";"Řemeslo a hobby";"Styl";"rustikální";"Demo";"https://demo-dilna.softema.cz"
"SLU-UPR-START";"";"Balíček úprav Start";"Menší úpravy vzhledu dle zadání, hotové do 3 pracovních dnů.";"<p>Drobné úpravy stávající šablony: barvy, bannery, patička, texty. Rozsah do 3 hodin práce.</p>";"Doplňkové služby";"Softema";"2900";"0";"Skladem";"1";"ks";"0";"";"";"";"";"";""
"SLU-UPR-STANDARD";"";"Balíček úprav Standard";"Nové sekce homepage a úprava detailu produktu, s návrhem předem.";"<p>Rozšíření šablony: nové sekce na hlavní straně, úprava detailu produktu, návrh řešení předem. Rozsah do 10 hodin práce. 30 dní podpory.</p>";"Doplňkové služby";"Softema";"7900";"0";"Skladem";"1";"ks";"0";"";"";"";"";"";""
"SLU-UPR-PRO";"";"Balíček úprav Pro";"Přestavba klíčových stránek, kontrola rychlosti a mobilu.";"<p>Větší zásah: přestavba klíčových stránek, optimalizace rychlosti a mobilní verze. Rozsah do 20 hodin práce.</p>";"Doplňkové služby";"Softema";"14900";"0";"Skladem";"1";"ks";"0";"";"";"";"";"";""
"SLU-MKT-START";"";"Marketingový start";"Nastavení Google Ads a Skliku s konverzním měřením.";"<p>Založení a nastavení kampaní Google Ads i Sklik, konverzní měření (GA4), produktový feed, doporučení rozpočtů a předávací video. Kredit na reklamu se hradí zvlášť.</p>";"Doplňkové služby";"Softema";"4900";"0";"Skladem";"1";"ks";"0";"";"";"";"";"";""
"SLU-SROVNAVACE";"";"Napojení srovnávačů";"Heureka a Zboží.cz — feedy, měření, Ověřeno zákazníky.";"<p>Produktové feedy pro Heureku a Zboží.cz, konverzní měření a zapojení programu Ověřeno zákazníky.</p>";"Doplňkové služby";"Softema";"1900";"0";"Skladem";"1";"ks";"0";"";"";"";"";"";""
"SLU-EMAILY";"";"Sladění e-mailů objednávky";"Systémové e-maily v barvách vašeho brandu.";"<p>Úprava potvrzení objednávky a systémových e-mailů do vzhledu vašeho e-shopu. U šablon je tato služba v ceně.</p>";"Doplňkové služby";"Softema";"1400";"0";"Skladem";"1";"ks";"0";"";"";"";"";"";""
"SLU-PPC";"";"Správa PPC kampaní";"Google Ads, Sklik a Meta — měsíční správa a report.";"<p>Průběžná optimalizace kampaní, měsíční report v Looker Studiu a pravidelné konzultace. Od 4 900 Kč / měsíc — cena dle rozsahu.</p>";"Doplňkové služby";"Softema";"0";"0";"Na dotaz";"1";"ks";"0";"";"";"";"";"";""
"SLU-SEO";"";"SEO & copywriting";"Analýza klíčových slov, texty a technické SEO.";"<p>Analýza klíčových slov, popisy produktů a kategorií, technické SEO. Od 3 900 Kč / měsíc — cena dle rozsahu.</p>";"Doplňkové služby";"Softema";"0";"0";"Na dotaz";"1";"ks";"0";"";"";"";"";"";""
"SLU-EMAILING";"";"E-mailing";"Newslettery a automatizace sladěné s e-shopem.";"<p>Rozesílky a automatizace (opuštěný košík, po nákupu), šablony sladěné s novým vzhledem. Od 2 900 Kč / měsíc — cena dle rozsahu.</p>";"Doplňkové služby";"Softema";"0";"0";"Na dotaz";"1";"ks";"0";"";"";"";"";"";""
